query_id,platform,session_surface,login_state,locale,language,region,axis,seed_term,seed_status,query,searched_at,result_count_reported,sample_size,relevant_count,autosuggest,related_terms,hashtags,creator_handles,source_urls,access_outcome,collector,notes
xhs_zh_014,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,occasion+appearance,颜局,candidate,颜局,2026-07-16,,,,汕头|剧本杀|朋友圈,卡颜局标准|卡颜局被卡走|真正的卡颜局|微卡颜8人局,,,https://www.xiaohongshu.com/explore/6a23bd050000000006022f7d,success,codex_manual_review,卡颜局和城市颜值组局重复出现；查询也混入同名用户和无关内容；仅进风险词典
xhs_zh_015,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,price+gender,女A男免,verified,女A男免,2026-07-16,,,,,男免女A局|女A局|男A女免|女免局,,,https://www.xiaohongshu.com/explore/6a46624d0000000008002844|https://www.xiaohongshu.com/explore/67b98d84000000000e00407e,success,codex_manual_review,精确标题和镜像变体重复出现；A与付费/分摊相关仍属语境推断；性别差别定价风险
douyin_zh_001,douyin,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+format,局头备忘录,verified,局头备忘录,2026-07-16,,,,全部|图片|文字|游戏|动作素材,局头备忘录怎么复制|局头备忘录小程序|局头备忘录动作小人|局头备忘录大全完整版,#局头|#抓手指|#组局dd|#带台游戏,究极大聪明（卡聚）|上海酒吧 小黄鱼儿,https://www.douyin.com/search/%E5%B1%80%E5%A4%B4%E5%A4%87%E5%BF%98%E5%BD%95,success,codex_manual_review,多作者精确标题且出现约390条可投稿审核的带台游戏小程序线索
douyin_zh_002,douyin,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+style,通天带,verified,通天带 局头,2026-07-16,,,,,通天代|通天带压迫感|顶帅打法|冷脸萌带台|组局通天带,#通天代|#抓手指|#局头|#带台,,https://www.douyin.com/search/%E9%80%9A%E5%A4%A9%E5%B8%A6%20%E5%B1%80%E5%A4%B4,success,codex_manual_review,代/带双写和游戏化语言跨多条结果；双关关系为语境推断
douyin_zh_003,douyin,in_app_browser,logged_in,zh-CN,zh-CN,CN,rating+format,夯到拉,verified,夯到拉 局头,2026-07-16,,,,,夯到拉完整内容|夯到拉排位|锐评|顶帅局头,#从夯到拉|#局头|#组局,,https://www.douyin.com/search/%E5%A4%AF%E5%88%B0%E6%8B%89%20%E5%B1%80%E5%A4%B4,success,codex_manual_review,多个作者和城市使用同一排名/锐评模板；强内容格式词；防公开羞辱
douyin_zh_004,douyin,in_app_browser,logged_in,zh-CN,zh-CN,CN,slang_probe,夜店酒吧黑话,candidate,夜店酒吧黑话 局头,2026-07-16,,,,,,,,https://www.douyin.com/search/%E5%A4%9C%E5%BA%97%E9%85%92%E5%90%A7%E9%BB%91%E8%AF%9D%20%E5%B1%80%E5%A4%B4,challenge_blocked,codex_manual_review,结果加载前出现拖拽验证；未尝试绕过；不能把访问失败记为无结果
tiktok_en_001,tiktok,ads_browser,logged_in,en-US,en,US,role,drinking game host,candidate,drinking game host,2026-07-16,,,,game host|game show host|host game night,,,,https://www.tiktok.com/search?q=drinking%20game%20host,success,codex_manual_review,有相关主持内容但平台自动补全以普通game host为主；弱角色桥接词
tiktok_en_002,tiktok,ads_browser,logged_in,en-US,en,US,occasion+game,pregame games,verified,pregame games,2026-07-16,,,,,predrink|Calabria game|I love London|Stir the Pot|Golf Pong|homemade card game,#pregame|#games|#dancegames,sophiasternnn|taxeddd,https://www.tiktok.com/@sophiasternnn/video/7655457549533072670,success,codex_manual_review,强海外场合入口；同屏长出命名玩法、自制卡牌和本地别名
tiktok_en_003,tiktok,ads_browser,logged_in,en-US,en,US,named_format,drunk spelling bee,verified,drunk spelling bee,2026-07-16,,,,,drunken bee|tipsy spelling bee|Tequila & The Bee|Spell or Shots,#spellingbee|#gamesnight,breeahknee,https://www.tiktok.com/@breeahknee/video/7627950562385923341,success,codex_manual_review,多作者重复和多个稳定标题变体；YouTube也有跨平台高观看样本
tiktok_en_004,tiktok,ads_browser,logged_in,en-US,en,US,prompt_format,drinking game prompts,verified,drinking game prompts,2026-07-16,,,,,handwritten prompt list|swipe to play|DIY deck|drink if it applies,#drinkinggame,erin.aitchison65,https://www.tiktok.com/@erin.aitchison65/video/6849048450517011718,success,codex_manual_review,与备忘录功能最接近；部分卡片含酒精、性暗示、隐私和羞辱风险
tiktok_en_005,tiktok,ads_browser,logged_in,en-US,en,US,prompt_format,party game prompt cards,ambiguous,party game prompt cards,2026-07-16,,,,,word association game|game night ideas|Grab The Mic,,,https://www.tiktok.com/search?q=party%20game%20prompt%20cards,success,codex_manual_review,精确结果稀疏且大量扩展到卡片教程和普通游戏夜；保留为探针
tiktok_en_006,tiktok,ads_browser,logged_in,en-US,en,US,host+planning,game night host ideas,verified,game night host ideas,2026-07-16,,,,,how to host|game-night non-negotiables|on a budget|couples-friendly,,brain_in_a_jar|drinkkeda,https://www.tiktok.com/search?q=game%20night%20host%20ideas,success,codex_manual_review,多作者的主持教程和筹备清单；可补充非酒精安全玩法
tiktok_en_007,tiktok,ads_browser,logged_in,en-US,en,US,named_game,Stir the Pot,verified,stir the pot drinking game,2026-07-16,,,,,You Lie You Drink|adult party game|friend-group test,#stirthepot|#drinkinggame|#pregame,taxeddd,https://www.tiktok.com/@taxeddd/video/7650674201870880013,success,codex_manual_review,重复命名玩法；朋友互评和roast机制有羞辱及关系伤害风险
youtube_en_001,youtube,in_app_browser,logged_in,en-US,en,US,named_format,drunk spelling bee,verified,drunk spelling bee party game,2026-07-16,,,,,Drunk Spelling Bee|game night|Spelling Bee Game for Adults,,,https://www.youtube.com/shorts/q17wxH_eu-Q|https://www.youtube.com/results?search_query=drunk%20spelling%20bee%20party%20game,success,codex_manual_review,多个Shorts和成人长视频；最高可见Short约1494万次观看；指标为当日快照
